angry_bin,itaid_bin,t_commonality,north,satisf,sopscale,Corriere
0,0,0,1,0.3333333432674408,1,1
1,1,0,1,0,0.75,1
1,1,0,1,1,0.75,1
0,0,0,0,0.6666666865348816,0.25,0
1,1,0,1,0.6666666865348816,0.75,1
0,1,0,1,0.6666666865348816,0.75,1
0,1,0,0,1,0.5,1
0,0,0,1,0.6666666865348816,1,0
0,1,0,0,0.6666666865348816,0.75,1
0,1,0,1,0.6666666865348816,0.5,1
1,1,0,1,0,0,1
0,1,0,0,0.6666666865348816,0.75,1
0,1,0,1,0.3333333432674408,0.5,1
0,0,0,1,0.6666666865348816,0.75,1
0,1,0,0,0.3333333432674408,0.75,1
1,0,0,1,0.6666666865348816,1,1
0,0,0,0,0,0.75,1
0,1,0,0,0.6666666865348816,0.25,1
0,1,0,1,0.6666666865348816,0.25,1
0,1,0,1,0,0.5,1
0,1,0,1,0.6666666865348816,0.25,1
0,0,0,0,0.6666666865348816,0.75,1
1,1,0,0,0.6666666865348816,1,1
1,1,0,1,0.6666666865348816,0.75,1
0,1,0,1,0.6666666865348816,0.75,1
0,1,0,1,0.6666666865348816,1,1
0,0,0,1,0.3333333432674408,0.75,1
1,1,0,1,1,0.5,1
0,1,0,0,0.6666666865348816,0.75,1
0,0,0,0,0,0.75,0
0,1,0,1,0.3333333432674408,0.75,1
0,0,0,1,0.6666666865348816,1,1
0,1,0,0,0,0.75,1
1,0,0,0,0.3333333432674408,1,1
0,1,0,1,1,0.5,1
1,1,0,1,0.6666666865348816,1,1
0,1,0,1,0.6666666865348816,0.75,1
1,1,0,1,0.6666666865348816,1,1
1,1,0,1,0.6666666865348816,0.25,1
0,0,0,0,0.6666666865348816,1,1
0,1,0,1,0.6666666865348816,1,1
0,1,0,1,0.6666666865348816,0.5,1
0,1,0,0,0.3333333432674408,0.75,1
0,1,0,1,0.6666666865348816,1,1
0,1,0,1,0.6666666865348816,0.75,1
0,1,0,0,0.6666666865348816,1,1
0,0,0,1,0.3333333432674408,1,1
0,0,0,0,0.6666666865348816,1,0
0,0,0,1,0.6666666865348816,0.5,1
1,1,0,1,0.6666666865348816,1,1
0,1,0,1,0.6666666865348816,1,1
0,1,0,1,0.6666666865348816,0.75,1
1,1,0,1,0.6666666865348816,1,1
0,0,0,1,0.3333333432674408,1,1
0,1,0,1,0.6666666865348816,0.75,1
1,1,0,1,0.3333333432674408,1,0
0,0,0,1,0.3333333432674408,0.5,1
0,1,0,1,1,1,1
1,1,0,1,0.6666666865348816,0.75,1
0,1,0,1,0.6666666865348816,1,1
1,0,0,0,0,0.75,1
0,0,0,1,0.6666666865348816,1,1
1,1,0,0,0.6666666865348816,0.75,1
0,0,0,1,0,0.75,1
0,0,0,1,1,0.75,1
1,1,0,1,0.6666666865348816,0.5,1
0,1,0,0,0.6666666865348816,0.5,1
0,0,0,0,0.6666666865348816,0.75,1
1,1,0,1,0.6666666865348816,0.5,1
1,1,0,1,0.3333333432674408,0.75,1
1,1,0,1,0.6666666865348816,0.75,1
0,0,0,1,1,0.5,1
1,1,0,1,0.3333333432674408,0.5,1
1,1,0,1,0.3333333432674408,0.75,1
0,0,0,1,0.6666666865348816,0.75,1
1,0,0,1,0.6666666865348816,0.75,1
0,0,0,1,0.6666666865348816,0.5,1
0,1,0,1,0.3333333432674408,0.75,1
0,0,0,1,0,0.5,1
0,1,0,0,0.6666666865348816,0.75,1
0,1,0,1,0.6666666865348816,0.25,1
0,1,0,0,0.3333333432674408,0.75,1
0,0,0,1,0,0.75,1
0,1,0,0,0.3333333432674408,1,1
0,1,0,1,0.6666666865348816,0.75,1
0,1,0,1,0.6666666865348816,1,1
0,1,0,0,0.3333333432674408,0.5,1
0,1,0,1,0.6666666865348816,0.5,1
0,1,0,1,0.6666666865348816,1,1
1,1,0,1,0.3333333432674408,0.75,1
1,1,0,1,0.6666666865348816,0.5,1
0,0,0,1,0,1,1
1,1,0,0,0.6666666865348816,0.75,1
0,1,0,1,0.6666666865348816,0.5,1
0,0,0,0,0.6666666865348816,0.75,1
0,0,0,1,0.3333333432674408,0.75,1
1,1,0,1,0.3333333432674408,0.75,1
0,1,0,0,0.6666666865348816,0.75,1
0,1,0,1,0.6666666865348816,0.75,1
1,0,0,1,0,0.5,1
0,1,0,1,1,0.5,1
1,1,0,1,0.3333333432674408,1,1
1,1,0,0,1,0.5,1
1,1,0,1,0,0.5,1
1,1,0,0,0.6666666865348816,0.75,1
0,1,0,1,0.6666666865348816,0.75,1
0,0,0,1,0.3333333432674408,0.75,0
1,1,0,0,0.6666666865348816,0.75,1
1,0,0,1,0.3333333432674408,1,1
1,1,0,0,0,0.75,1
0,1,0,1,0.6666666865348816,0.25,1
0,0,0,1,1,0.25,0
0,0,0,1,1,0.75,1
0,0,0,1,0.3333333432674408,0.75,1
0,1,0,0,1,1,1
0,1,0,1,0.6666666865348816,1,1
0,1,0,1,0.6666666865348816,0.75,1
1,1,0,1,0.6666666865348816,0.75,0
1,1,0,0,0.3333333432674408,0.75,1
0,1,0,1,0,0.75,0
1,1,0,0,0.6666666865348816,0.75,1
1,0,0,1,0.6666666865348816,0.75,1
0,1,0,0,0.3333333432674408,0.75,0
1,1,0,1,1,0.75,1
0,1,1,0,0,0.25,1
0,0,1,1,0.6666666865348816,0.5,1
0,1,1,1,0.3333333432674408,1,1
